2021-01-22 00:01:05,316: 't'
2021-01-22 00:01:05,521: 'e'
2021-01-22 00:01:05,740: 's'
2021-01-22 00:01:05,949: 't'
2021-01-22 00:01:06,170: 'e'
2021-01-22 00:01:07,177: Key.space
2021-01-22 00:01:07,544: 't'
2021-01-22 00:01:07,654: 'h'
2021-01-22 00:01:07,706: 'e'
2021-01-22 00:01:07,856: Key.space
2021-01-22 00:01:08,299: 'd'
2021-01-22 00:01:08,683: 'a'
2021-01-22 00:01:08,862: 'y'
2021-01-22 00:01:09,288: 'k'
2021-01-22 00:01:09,431: 'j'
2021-01-22 00:01:09,539: 'k'
2021-01-22 00:01:09,600: 'e'
2021-01-22 00:01:09,660: 'j'
2021-01-22 00:01:09,694: 'f'
2021-01-22 00:01:09,984: Key.enter
